Rotation (°), Resistance (), x, f(x), R_T, R_m1, R_m2
0, 1.23300e+00, 0.00, 4.11000e-03, 9.50400e+04, 1.23300e+00, 1.21300e+00
15, 1.38200e+00, 0.05, 4.60667e-03, , , 
30, 4.65500e+03, 0.10, 1.55167e+01, , , 
45, 9.90100e+03, 0.15, 3.30033e+01, , , 
60, 1.51080e+04, 0.20, 5.03600e+01, , , 
75, 2.09600e+04, 0.25, 6.98667e+01, , , 
90, 2.56800e+04, 0.30, 8.56000e+01, , , 
105, 3.14400e+04, 0.35, 1.04800e+02, , , 
120, 3.67400e+04, 0.40, 1.22467e+02, , , 
135, 4.17200e+04, 0.45, 1.39067e+02, , , 
150, 4.71400e+04, 0.50, 1.57133e+02, , , 
165, 5.23200e+04, 0.55, 1.74400e+02, , , 
180, 5.76500e+04, 0.60, 1.92167e+02, , , 
195, 6.27300e+04, 0.65, 2.09100e+02, , , 
210, 6.76900e+04, 0.70, 2.25633e+02, , , 
225, 7.33600e+04, 0.75, 2.44533e+02, , , 
240, 7.88400e+04, 0.80, 2.62800e+02, , , 
255, 8.45200e+04, 0.85, 2.81733e+02, , , 
270, 9.00700e+04, 0.90, 3.00233e+02, , , 
285, 9.49200e+04, 0.95, 3.16400e+02, , , 
300, 9.49400e+04, 1.00, 3.16467e+02, , , 
