Rotation (°), Resistance (), x, f(x), R_T, R_m1, R_m2
0, 1.04500e+00, 0.00, 3.48333e-03, 1.00420e+05, 1.04500e+00, 1.04800e+00
15, 4.93500e+01, 0.05, 1.64500e-01, , , 
30, 5.79300e+02, 0.10, 1.93100e+00, , , 
45, 1.21570e+03, 0.15, 4.05233e+00, , , 
60, 1.97370e+03, 0.20, 6.57900e+00, , , 
75, 3.09000e+03, 0.25, 1.03000e+01, , , 
90, 6.27100e+03, 0.30, 2.09033e+01, , , 
105, 8.97800e+03, 0.35, 2.99267e+01, , , 
120, 1.10030e+04, 0.40, 3.66767e+01, , , 
135, 1.31210e+04, 0.45, 4.37367e+01, , , 
150, 1.51560e+04, 0.50, 5.05200e+01, , , 
165, 1.78360e+04, 0.55, 5.94533e+01, , , 
180, 2.01600e+04, 0.60, 6.72000e+01, , , 
195, 2.98200e+04, 0.65, 9.94000e+01, , , 
210, 4.45000e+04, 0.70, 1.48333e+02, , , 
225, 5.82900e+04, 0.75, 1.94300e+02, , , 
240, 7.30000e+04, 0.80, 2.43333e+02, , , 
255, 8.98700e+04, 0.85, 2.99567e+02, , , 
270, 9.94400e+04, 0.90, 3.31467e+02, , , 
285, 1.00490e+05, 0.95, 3.34967e+02, , , 
300, 1.00490e+05, 1.00, 3.34967e+02, , , 
