Frequency (Hz), H(j), Amplitude Response (dB)
20,0.3662+0.050066i,-8.6452
21,0.3385-0.15889i,-8.544
22,0.19938-0.32096i,-8.4536
23,-0.0082706-0.38124i,-8.374
24,-0.21721-0.31729i,-8.3018
25,-0.35819-0.14751i,-8.2374
26,-0.38288+0.073665i,-8.1808
27,-0.28116+0.2735i,-8.129
28,-0.084758+0.38516i,-8.0818
29,0.14207+0.37i,-8.0386
30,0.32393+0.23141i,-8.0002
31,0.39946+0.014124i,-7.9652
32,0.34211-0.20958i,-7.9327
33,0.16981-0.36496i,-7.904
34,-0.060654-0.39924i,-7.8763
35,-0.27232-0.29969i,-7.8522
36,-0.39379-0.098933i,-7.8289
37,-0.38349+0.13633i,-7.808
38,-0.24401+0.32687i,-7.7889
39,-0.021657+0.40814i,-7.7716
40,0.20902+0.35214i,-7.7548
41,0.37009+0.17703i,-7.739
42,0.40673-0.058587i,-7.7246
43,0.30597-0.27525i,-7.7114
44,0.10133-0.39949i,-7.6991
45,-0.13822-0.38883i,-7.688
46,-0.33161-0.24644i,-7.6777
47,-0.41316-0.020109i,-7.6673
48,-0.35472+0.21358i,-7.6587
49,-0.17579+0.37535i,-7.6501
50,0.063055+0.41003i,-7.6423
51,0.28121+0.30548i,-7.6346
52,0.40411+0.096901i,-7.6272
53,0.38981-0.145i,-7.6201
54,0.24286-0.33796i,-7.6145
55,0.013044-0.41623i,-7.6091
56,-0.22152-0.35294i,-7.6036
57,-0.381-0.16935i,-7.5985
58,-0.41086+0.072117i,-7.5944
59,-0.30079+0.28934i,-7.5897
60,-0.088027+0.40818i,-7.5854
61,0.15496+0.38792i,-7.5822
62,0.34531+0.23535i,-7.5789
63,0.41804+0.0023542i,-7.5756
64,0.34819-0.23162i,-7.5725
65,0.15942-0.38674i,-7.57
66,-0.083893-0.40994i,-7.5675
67,-0.29873-0.29316i,-7.5651
68,-0.41167-0.076175i,-7.5627
69,-0.38403+0.16694i,-7.561
70,-0.22515+0.35314i,-7.5597
71,0.010708+0.41876i,-7.5579
72,0.24305+0.34126i,-7.5565
73,0.39238+0.14706i,-7.5552
74,0.40757-0.097505i,-7.5543
75,0.28341-0.30877i,-7.5533
76,0.062244-0.41452i,-7.5523
77,-0.18026-0.37848i,-7.5514
78,-0.36111-0.21293i,-7.5514
79,-0.41849+0.025526i,-7.5503
80,-0.33261+0.25524i,-7.5504
82,0.11236+0.40395i,-7.5499
83,0.31913+0.27195i,-7.5499
84,0.41668+0.046813i,-7.5495
85,0.37152-0.19435i,-7.5499
86,0.19911-0.36895i,-7.5505
87,-0.041427-0.41719i,-7.5506
88,-0.26783-0.3225i,-7.5512
90,-0.39918+0.128i,-7.5515
91,-0.25909+0.32945i,-7.553
92,-0.030277+0.418i,-7.5538
93,0.20888+0.36329i,-7.5545
95,0.41489-0.0582i,-7.5566
96,0.31113-0.28047i,-7.558
97,0.10076-0.40654i,-7.559
99,-0.33955-0.24505i,-7.5611
100,-0.41848-0.012919i,-7.5623
101,-0.3539+0.22356i,-7.5641
103,0.075503+0.41161i,-7.5665
104,0.29299+0.29872i,-7.5677
105,0.40995+0.083359i,-7.5694
107,0.23006-0.34923i,-7.5725
108,-0.0049857-0.41805i,-7.5749
110,-0.38969-0.1511i,-7.5774
111,-0.40735+0.09309i,-7.5795
113,-0.065331+0.41255i,-7.5829
114,0.17695+0.37828i,-7.5843
116,0.41678-0.023335i,-7.5883
118,0.13348-0.3953i,-7.5925
119,-0.11086-0.40213i,-7.5945
121,-0.41431-0.046818i,-7.5984
122,-0.36932+0.19329i,-7.6005
124,0.041937+0.41453i,-7.6046
126,0.40018+0.11529i,-7.6085
127,0.39594-0.12869i,-7.6112
129,0.027864-0.4152i,-7.6154
131,-0.37484-0.18027i,-7.6195
133,-0.30661+0.28076i,-7.6236
135,0.1465+0.38883i,-7.6283
136,0.33914+0.23987i,-7.6308
138,0.34862-0.2255i,-7.635
140,-0.079669-0.40721i,-7.6405
142,-0.40744-0.077404i,-7.6447
144,-0.22318+0.34925i,-7.6502
146,0.24109+0.33683i,-7.6555
148,0.40207-0.0986i,-7.6604
150,0.05787-0.40967i,-7.6656
152,-0.3586-0.20582i,-7.6711
154,-0.3241+0.25628i,-7.6772
156,0.11743+0.39585i,-7.683
158,0.41087+0.037989i,-7.689
160,0.18776-0.36708i,-7.6956
163,-0.39818-0.10518i,-7.7054
165,-0.24538+0.33038i,-7.7119
167,0.21546+0.35025i,-7.7186
169,0.4049-0.069927i,-7.7254
172,-0.15437-0.38024i,-7.7363
174,-0.41003+0.0021162i,-7.7436
176,-0.15018+0.38115i,-7.7512
179,0.40388+0.065435i,-7.7624
181,0.21051-0.35042i,-7.77
184,-0.3867-0.13084i,-7.7819
186,-0.26484+0.31023i,-7.7889
189,0.3591+0.19239i,-7.7998
