Frequency (Hz), H(j), Amplitude Response (dB)
20,0.15156+0.06269i,-15.702
21,0.16381-0.027745i,-15.59
22,0.12528-0.11197i,-15.493
23,0.04668-0.16319i,-15.405
24,-0.04822-0.16437i,-15.325
25,-0.12979-0.11389i,-15.255
26,-0.17187-0.026683i,-15.193
27,-0.16035+0.070266i,-15.136
28,-0.097967+0.14636i,-15.084
29,-0.0037807+0.17701i,-15.038
30,0.092709+0.15187i,-14.995
31,0.16078+0.078087i,-14.956
32,0.17821-0.021198i,-14.92
33,0.13898-0.11457i,-14.889
34,0.055053-0.17217i,-14.858
35,-0.047112-0.17507i,-14.832
36,-0.13486-0.12195i,-14.807
37,-0.17992-0.029406i,-14.784
38,-0.16751+0.073111i,-14.762
39,-0.10118+0.15266i,-14.744
40,-0.0019095+0.1836i,-14.722
41,0.098227+0.15546i,-14.709
42,0.16728+0.077186i,-14.693
43,0.18266-0.026261i,-14.678
44,0.13913-0.12161i,-14.667
45,0.050585-0.17801i,-14.654
46,-0.054591-0.17707i,-14.643
47,-0.14239-0.11891i,-14.633
48,-0.18441-0.022097i,-14.622
49,-0.16683+0.08208i,-14.613
50,-0.095266+0.15988i,-14.605
51,0.0074412+0.18612i,-14.597
52,0.10788+0.15203i,-14.59
53,0.17352+0.06858i,-14.583
54,0.18294-0.037244i,-14.577
55,0.13302-0.13117i,-14.572
56,0.039823-0.18262i,-14.567
57,-0.066416-0.17484i,-14.562
58,-0.15122-0.11021i,-14.557
59,-0.18697-0.0096922i,-14.553
60,-0.16195+0.094073i,-14.55
61,-0.084226+0.16739i,-14.545
62,0.020993+0.18627i,-14.542
63,0.11943+0.14455i,-14.54
64,0.17909+0.05574i,-14.537
65,0.18046-0.051295i,-14.535
66,0.12305-0.14167i,-14.533
67,0.025507-0.18594i,-14.531
68,-0.080377-0.16965i,-14.529
69,-0.16012-0.098045i,-14.528
70,-0.18767+0.0055528i,-14.528
71,-0.15408+0.10737i,-14.526
72,-0.070174+0.1742i,-14.526
73,0.036613+0.1842i,-14.526
74,0.13149+0.13413i,-14.525
75,0.18347+0.040284i,-14.524
76,0.17557-0.066765i,-14.524
77,0.11035-0.15199i,-14.525
78,0.0091005-0.1876i,-14.525
79,-0.095124-0.16195i,-14.525
80,-0.1683-0.083371i,-14.525
82,-0.14371+0.12084i,-14.528
83,-0.054022+0.17979i,-14.529
84,0.053291+0.18001i,-14.529
85,0.14319+0.12137i,-14.531
86,0.18624+0.023073i,-14.532
87,0.16842-0.082726i,-14.534
88,0.095532-0.16145i,-14.535
90,-0.10982-0.15201i,-14.538
91,-0.17513-0.066945i,-14.54
92,-0.18314+0.039976i,-14.542
93,-0.13122+0.13378i,-14.545
95,0.070262+0.17363i,-14.549
96,0.15389+0.10667i,-14.552
97,0.18714+0.004838i,-14.554
99,0.079044-0.16958i,-14.559
100,-0.026859-0.18511i,-14.561
101,-0.1239-0.14003i,-14.564
103,-0.17772+0.057752i,-14.569
104,-0.1169+0.14569i,-14.573
105,-0.017837+0.1859i,-14.574
107,0.16326+0.090395i,-14.581
108,0.18603-0.013933i,-14.584
110,0.061287-0.17606i,-14.59
111,-0.045308-0.18077i,-14.593
113,-0.18372-0.03044i,-14.599
114,-0.17024+0.07531i,-14.602
116,0.0012797+0.18599i,-14.61
118,0.17097+0.072839i,-14.617
119,0.18285-0.032892i,-14.62
121,0.042586-0.18069i,-14.627
122,-0.063498-0.17436i,-14.63
124,-0.18508-0.011114i,-14.637
126,-0.08379+0.16523i,-14.644
127,0.020628+0.18402i,-14.648
129,0.17688+0.054247i,-14.656
131,0.12005-0.1406i,-14.662
